,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__activation,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.06875667572021485,0.015935698452181162,0.0,0.0,relu,10.0,"(4,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4,)}",0.7729257641921398,0.7798833819241983,0.7635036496350365,0.7576642335766424,0.7664233576642335,0.7680863477246208,0.007681018817756128,170,0.7734403502371398,0.7800875273522976,0.7652205614290922,0.7641268683922713,0.7623040466642362,0.7690358708150076,0.006715815633142464
1,0.03125290870666504,0.019765894064976988,0.0,0.0,relu,10.0,"(2,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2,)}",0.7743813682678311,0.749271137026239,0.7372262773722628,0.710948905109489,0.7678832116788321,0.7479579929988331,0.02272248040842919,182,0.76541408245166,0.738147337709701,0.7572001458257382,0.7211082756106453,0.7568355814801312,0.7477410846155752,0.01603661472941428
2,0.056255340576171875,0.007655609325981608,0.0031253337860107423,0.0062506675720214845,relu,10.0,"(8,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8,)}",0.7802037845705968,0.7857142857142857,0.7868613138686131,0.7766423357664234,0.7824817518248175,0.7823803967327888,0.003710430027972616,103,0.7807369573148486,0.7840991976659373,0.7838133430550492,0.7779803135253373,0.7852716004374772,0.7823802823997299,0.0026618901540015655
3,0.043754291534423825,0.006249642456491808,0.0,0.0,relu,10.0,"(4, 4)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4, 4)}",0.7802037845705968,0.7711370262390671,0.7751824817518248,0.7766423357664234,0.7766423357664234,0.7759626604434072,0.002927642397019431,165,0.7796424662531922,0.7687819110138585,0.7776157491797302,0.7772511848341233,0.7772511848341233,0.7761084992230055,0.0037696440415672192
4,0.015626955032348632,3.8146972656249997e-07,0.0,0.0,relu,10.0,"(2, 2)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2, 2)}",0.7831149927219796,0.782798833819242,0.7839416058394161,0.7839416058394161,0.7839416058394161,0.7835472578763127,0.0004927114278503421,2,0.7836556001459322,0.7837345003646973,0.7834487787094422,0.7834487787094422,0.7834487787094422,0.7835472873277911,0.00012320083719547382
5,0.06875677108764648,0.007655258926633684,0.0,0.0,relu,10.0,"(8, 8)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8, 8)}",0.7816593886462883,0.7842565597667639,0.7693430656934307,0.7693430656934307,0.7839416058394161,0.7777129521586931,0.0068876629248658785,152,0.7829259394381612,0.7797228300510576,0.7798031352533722,0.7794385709077652,0.7819905213270142,0.7807761993954742,0.0014100816129630975
6,0.07188200950622559,0.007655609657139627,0.0,0.0,relu,10.0,"(4, 4, 4)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4, 4, 4)}",0.7802037845705968,0.7798833819241983,0.7737226277372263,0.7708029197080292,0.7766423357664234,0.7762543757292882,0.0036070468579122174,156,0.7781831448376505,0.7808169219547776,0.7765220561429093,0.7765220561429093,0.7732409770324462,0.7770570312221385,0.0024714196910232615
7,0.021877193450927736,0.007655784534194305,0.0,0.0,relu,10.0,"(2, 2, 2)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2, 2, 2)}",0.21688500727802038,0.21720116618075802,0.21605839416058395,0.21605839416058395,0.21605839416058395,0.2164527421236873,0.0004927114278503239,195,0.21634439985406786,0.2162654996353027,0.2165512212905578,0.2165512212905578,0.2165512212905578,0.2164527126722088,0.00012320083719546406
8,0.05938100814819336,0.011693711610593691,0.0,0.0,relu,10.0,"(8, 8, 8)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8, 8, 8)}",0.7831149927219796,0.7725947521865889,0.7532846715328467,0.7839416058394161,0.7839416058394161,0.7753792298716453,0.011848751798602357,168,0.7836556001459322,0.7695113056163384,0.7685016405395553,0.7834487787094422,0.7834487787094422,0.7777132207441421,0.007116596727800224
9,0.06250619888305664,0.013976704357494442,0.0,0.0,relu,3.1622776601683795,"(4,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (4,)}",0.7729257641921398,0.7740524781341108,0.7635036496350365,0.7576642335766424,0.7649635036496351,0.7666277712952159,0.006126953507490273,171,0.7738051805910252,0.775346462436178,0.7644914327378782,0.7630331753554502,0.7615749179730222,0.7676502338187108,0.005750130788923922
