,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__activation,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.199052095413208,0.032253795095430186,0.0,0.0,relu,10.0,"(4,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4,)}",0.7714701601164483,0.7798833819241983,0.7839416058394161,0.7839416058394161,0.7795620437956204,0.7797549591598599,0.004557566933272654,153,0.7719810288215979,0.7822757111597374,0.7819905213270142,0.7819905213270142,0.7830842143638352,0.7802643993998397,0.004161008372452587
1,0.136116361618042,0.013261770545925049,0.0,0.0,relu,10.0,"(2,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2,)}",0.7743813682678311,0.7857142857142857,0.7766423357664234,0.7678832116788321,0.7795620437956204,0.7768378063010501,0.0058728529295914295,173,0.7646844217438891,0.7800875273522976,0.7812613926358002,0.7827196500182282,0.7754283631060882,0.7768362709712606,0.0065485290411373
2,0.1250387668609619,0.009936922851299762,0.0,0.0,relu,10.0,"(8,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8,)}",0.7787481804949054,0.7842565597667639,0.7868613138686131,0.7854014598540145,0.7839416058394161,0.7838389731621938,0.002746629677984957,3,0.7800072966070777,0.7840991976659373,0.7841779074006562,0.7845424717462632,0.7808968282901932,0.7827447403420255,0.0018988806079022927
3,0.16000618934631347,0.01975521307914944,0.0,0.0,relu,10.0,"(4, 4)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4, 4)}",0.7802037845705968,0.7813411078717201,0.7766423357664234,0.7839416058394161,0.7781021897810219,0.7800466744457409,0.002538329159865599,144,0.7792776358993069,0.7822757111597374,0.7808968282901932,0.7794385709077652,0.7819905213270142,0.7807758535168035,0.0012468044385419309
4,0.07697219848632812,0.002269672101120439,0.0010022640228271485,0.002004528045654297,relu,10.0,"(2, 2)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2, 2)}",0.7831149927219796,0.782798833819242,0.7839416058394161,0.7839416058394161,0.7839416058394161,0.7835472578763127,0.0004927114278503421,5,0.7836556001459322,0.7837345003646973,0.7834487787094422,0.7834487787094422,0.7834487787094422,0.7835472873277911,0.00012320083719547382
5,0.17406091690063477,0.013505004889089864,0.0,0.0,relu,10.0,"(8, 8)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8, 8)}",0.7816593886462883,0.782798833819242,0.7839416058394161,0.7751824817518248,0.7839416058394161,0.7815052508751459,0.003271141238419361,130,0.7832907697920467,0.7830051057622174,0.7834487787094422,0.7801676995989792,0.7834487787094422,0.7826722265144255,0.0012627055138286242
6,0.17995133399963378,0.008858702632424408,0.001004791259765625,0.00200958251953125,relu,10.0,"(4, 4, 4)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4, 4, 4)}",0.7787481804949054,0.7769679300291545,0.7693430656934307,0.7708029197080292,0.7766423357664234,0.7745040840140023,0.003714586465742419,185,0.7756293323604524,0.7797228300510576,0.7736055413780533,0.7736055413780533,0.7761574917973022,0.7757441473929838,0.002243266509183771
7,0.09001531600952148,0.0032982831492802053,0.0029560089111328124,0.0039222320334299995,relu,10.0,"(2, 2, 2)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2, 2, 2)}",0.21688500727802038,0.21720116618075802,0.21605839416058395,0.21605839416058395,0.21605839416058395,0.2164527421236873,0.0004927114278503239,209,0.21634439985406786,0.2162654996353027,0.2165512212905578,0.2165512212905578,0.2165512212905578,0.2164527126722088,0.00012320083719546406
8,0.167954158782959,0.006782480452950282,0.001006746292114258,0.0020134925842285154,relu,10.0,"(8, 8, 8)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8, 8, 8)}",0.7831149927219796,0.7725947521865889,0.7576642335766424,0.7781021897810219,0.7678832116788321,0.7718786464410735,0.008758392922022988,188,0.7836556001459322,0.7702407002188184,0.7699598979219833,0.7648559970834853,0.7692307692307693,0.7715885929201977,0.006339862849754957
9,0.1968874454498291,0.0387903300147263,0.0,0.0,relu,3.1622776601683795,"(4,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (4,)}",0.7729257641921398,0.782798833819242,0.7722627737226277,0.7839416058394161,0.7781021897810219,0.7780046674445741,0.004837597688996413,172,0.7723458591754834,0.7822757111597374,0.7746992344148742,0.7819905213270142,0.7841779074006562,0.779097846695553,0.004673553922031342
10,0.1353318691253662,0.02170301865173689,0.0,0.0,relu,3.1622776601683795,"(2,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (2,)}",0.7758369723435226,0.7784256559766763,0.745985401459854,0.7708029197080292,0.7781021897810219,0.7698366394399067,0.012226756504977752,208,0.7657789128055454,0.7695113056163384,0.7623040466642362,0.7827196500182282,0.7801676995989792,0.7720963229406655,0.00800603346749883
11,0.13168296813964844,0.012176554518914367,0.00010447502136230468,0.0002089500427246094,relu,3.1622776601683795,"(8,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (8,)}",0.7802037845705968,0.7842565597667639,0.7897810218978102,0.7839416058394161,0.7839416058394161,0.7844224037339557,0.0030663397273118422,2,0.781831448376505,0.7859226841721372,0.7834487787094422,0.7849070360918702,0.7841779074006562,0.7840575709501221,0.0013813738758487854
12,0.1569890022277832,0.019219991936439865,0.0,0.0,relu,3.1622776601683795,"(4, 4)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (4, 4)}",0.7802037845705968,0.782798833819242,0.7795620437956204,0.7839416058394161,0.7766423357664234,0.780630105017503,0.0025640917687546737,133,0.7792776358993069,0.7822757111597374,0.7805322639445862,0.7794385709077652,0.7827196500182282,0.7808487663859248,0.0014208203997062368
13,0.07998228073120117,0.007978991848262925,0.001002025604248047,0.0020040512084960934,relu,3.1622776601683795,"(2, 2)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (2, 2)}",0.7831149927219796,0.782798833819242,0.7839416058394161,0.7839416058394161,0.7839416058394161,0.7835472578763127,0.0004927114278503421,5,0.7836556001459322,0.7837345003646973,0.7834487787094422,0.7834487787094422,0.7834487787094422,0.7835472873277911,0.00012320083719547382
14,0.19231610298156737,0.054429715552794425,0.0,0.0,relu,3.1622776601683795,"(8, 8)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (8, 8)}",0.7816593886462883,0.782798833819242,0.7751824817518248,0.7824817518248175,0.7839416058394161,0.7812135355892649,0.003101561696156464,131,0.7832907697920467,0.7830051057622174,0.7805322639445862,0.7838133430550492,0.7827196500182282,0.7826722265144255,0.0011293573507275844
15,0.17794451713562012,0.0067648035284588095,0.0010092735290527343,0.0020185470581054687,relu,3.1622776601683795,"(4, 4, 4)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (4, 4, 4)}",0.7831149927219796,0.7769679300291545,0.7751824817518248,0.781021897810219,0.7795620437956204,0.779171528588098,0.002825354899798058,170,0.7832907697920467,0.7786287381473377,0.7805322639445862,0.7801676995989792,0.7808968282901932,0.7807032599546286,0.0015068099494088814
16,0.09493169784545899,0.0045945560945074146,0.0010082244873046875,0.002016448974609375,relu,3.1622776601683795,"(2, 2, 2)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (2, 2, 2)}",0.21688500727802038,0.21720116618075802,0.21605839416058395,0.21605839416058395,0.21605839416058395,0.2164527421236873,0.0004927114278503239,209,0.21634439985406786,0.2162654996353027,0.2165512212905578,0.2165512212905578,0.2165512212905578,0.2164527126722088,0.00012320083719546406
17,0.16395201683044433,0.005845336308929378,0.001007986068725586,0.0020159721374511715,relu,3.1622776601683795,"(8, 8, 8)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (8, 8, 8)}",0.7831149927219796,0.7842565597667639,0.7781021897810219,0.7824817518248175,0.781021897810219,0.7817969661610268,0.0021214157256147954,129,0.7836556001459322,0.7822757111597374,0.7841779074006562,0.7838133430550492,0.7834487787094422,0.7834742680941634,0.0006450038526294589
18,0.17109384536743164,0.0259967557041174,0.0,0.0,relu,1.0,"(4,)","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (4,)}",0.7758369723435226,0.7813411078717201,0.7708029197080292,0.7708029197080292,0.781021897810219,0.7759626604434072,0.004641834495764639,184,0.7756293323604524,0.7786287381473377,0.7725118483412322,0.7728764126868393,0.7816259569814072,0.7762544577034538,0.00347273110926226
19,0.13032336235046388,0.028976932827038688,0.001004791259765625,0.00200958251953125,relu,1.0,"(2,)","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (2,)}",0.7743813682678311,0.7798833819241983,0.7474452554744525,0.7693430656934307,0.7795620437956204,0.7701283547257877,0.011974527881742428,207,0.7657789128055454,0.7698760029175784,0.7644914327378782,0.7830842143638352,0.7801676995989792,0.7726796524847633,0.007574342996185758
20,0.13000144958496093,0.008364002079611722,0.0,0.0,relu,1.0,"(8,)","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (8,)}",0.7802037845705968,0.7871720116618076,0.7897810218978102,0.7839416058394161,0.7854014598540145,0.7852975495915986,0.0032077025231007777,1,0.7825611090842758,0.7862873814733771,0.7841779074006562,0.7852716004374772,0.7852716004374772,0.7847139197666527,0.001266467551452299
21,0.15713777542114257,0.017580981681751803,0.0011970996856689453,0.001941798041263716,relu,1.0,"(4, 4)","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (4, 4)}",0.7802037845705968,0.782798833819242,0.7795620437956204,0.7839416058394161,0.7795620437956204,0.7812135355892649,0.0018123049696332119,131,0.7807369573148486,0.7822757111597374,0.7808968282901932,0.7798031352533722,0.7823550856726212,0.7812135435381545,0.0009744755520197124
22,0.07934517860412597,0.005805603350180354,0.000918722152709961,0.0018374443054199217,relu,1.0,"(2, 2)","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (2, 2)}",0.7831149927219796,0.782798833819242,0.7839416058394161,0.7839416058394161,0.7839416058394161,0.7835472578763127,0.0004927114278503421,5,0.7836556001459322,0.7837345003646973,0.7834487787094422,0.7834487787094422,0.7834487787094422,0.7835472873277911,0.00012320083719547382
