,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4108222007751465,0.04377122995889393,0.0,0.0,0.1,"(4,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 2}",0.7826530612244897,0.7836734693877551,0.7826530612244897,0.7405515832482125,0.7834525025536262,0.7746018783176807,0.017023638985046278,298,0.7741194486983155,0.7825421133231241,0.781010719754977,0.7593773921918857,0.7836182699668283,0.7761335887870262,0.00900780694956931
1,0.21884660720825194,0.012151711195345145,0.0,0.0,0.1,"(4,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 3}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,19,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
2,0.28100132942199707,0.04839688969043233,0.0,0.0,0.1,"(4,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 4}",0.2163265306122449,0.2163265306122449,0.2163265306122449,0.21654749744637386,0.21654749744637386,0.21641486320947326,0.00010824013408542338,309,0.2164369576314446,0.2164369576314446,0.2164369576314446,0.21638173003317174,0.21638173003317174,0.21641486659213544,2.70558870975874e-05
3,0.3254638671875,0.02387415646187555,0.0019907474517822264,0.0024382311712364984,0.1,"(4,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 5}",0.7795918367346939,0.7836734693877551,0.7836734693877551,0.7773237997957099,0.7834525025536262,0.7815434871376072,0.0026201073053554974,261,0.7820316488004083,0.7835630423685553,0.7835630423685553,0.7820872671599898,0.7836182699668283,0.7829726541328674,0.0007461015306506548
4,0.4230604648590088,0.02977318142829372,0.0010001182556152344,0.0020002365112304693,0.1,"(4,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 6}",0.7836734693877551,0.7836734693877551,0.7826530612244897,0.780388151174668,0.7875383043922369,0.7835851367905268,0.002311586055694984,19,0.7835630423685553,0.7825421133231241,0.7835630423685553,0.782597601428936,0.7831079356978821,0.7830747470374105,0.00044482193140641855
5,0.4319274425506592,0.01815125565866742,0.0010000705718994141,0.0020001411437988287,0.1,"(4,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 7}",0.7836734693877551,0.7836734693877551,0.7816326530612245,0.7834525025536262,0.7834525025536262,0.7831768068599428,0.0007785700333135037,202,0.7835630423685553,0.7835630423685553,0.7833078101071975,0.7836182699668283,0.7836182699668283,0.7835340869555929,0.0001158029384434628
6,0.48797268867492677,0.03692171727668644,0.0012104034423828125,0.001959493956491971,0.1,"(4,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 8}",0.7826530612244897,0.7836734693877551,0.7704081632653061,0.7834525025536262,0.7834525025536262,0.7807268272764394,0.005172348632141672,273,0.7822868810617662,0.7825421133231241,0.7736089841755998,0.7831079356978821,0.7831079356978821,0.7809307699912509,0.00367489083177387
7,0.588633680343628,0.062070542855906345,0.00039997100830078123,0.0004898624643296146,0.1,"(4,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 9}",0.7663265306122449,0.786734693877551,0.7755102040816326,0.780388151174668,0.7824310520939735,0.7782768476929359,0.006982720424135405,289,0.7761613067891782,0.7822868810617662,0.7799897907095457,0.7820872671599898,0.782597601428936,0.7806245694298832,0.0024132665540360625
8,0.914944839477539,0.06607217657424752,0.00020003318786621094,0.0004000663757324219,0.1,"(4,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 15}",0.7826530612244897,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7824310520939735,0.7831768068599428,0.0005291013841858863,202,0.7815211842776927,0.7835630423685553,0.7833078101071975,0.7836182699668283,0.782597601428936,0.7829215816298419,0.0007889353420160164
9,1.0381229400634766,0.05219088068669923,0.0011963367462158204,0.0019392146394953142,0.1,"(4,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 20}",0.7836734693877551,0.7826530612244897,0.7836734693877551,0.7834525025536262,0.763023493360572,0.7792976725193956,0.008142638297029778,285,0.7835630423685553,0.7822868810617662,0.7835630423685553,0.7836182699668283,0.7808114314876244,0.782768533450666,0.0010997070615018274
10,0.24399976730346679,0.0182738364872916,0.0019997596740722657,0.002449195404835723,0.1,"(2,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (2,), 'km__n_clusters': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,19,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
