,Adult SSE (left),Wine SSE (left)
2,2398751.072922581,16026.433994860632
3,2358935.726627865,13646.345219763269
4,2318712.8257431276,11529.249651170514
5,2287264.9297046303,10107.4116981483
6,2246564.043747478,9249.586668624635
7,2207218.408890039,8615.59569534543
8,2183594.7136873184,7992.547878107187
9,2144481.196949503,7614.8822479236915
15,1958232.1422485702,5991.674241912475
20,1828076.9620142533,5253.417967451175
