,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__activation,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.2762772083282471,0.018935874068521926,0.0,0.0,relu,10.0,"(4,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4,)}",0.7860262008733624,0.7871720116618076,0.762043795620438,0.7664233576642335,0.7795620437956204,0.7762543757292882,0.010239210500948734,195,0.7869390733309012,0.7910284463894968,0.7830842143638352,0.7812613926358002,0.7746992344148742,0.7834024722269815,0.0054971790509845695
1,0.25700016021728517,0.023555682327179667,0.0,0.0,relu,10.0,"(2,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2,)}",0.7802037845705968,0.7813411078717201,0.7839416058394161,0.7737226277372263,0.7839416058394161,0.780630105017503,0.0037489280656519968,169,0.7789128055454214,0.7815463165572575,0.7819905213270142,0.7772511848341233,0.7830842143638352,0.7805570085255302,0.002147199683368443
2,0.06302847862243652,0.005964249594663555,0.0,0.0,relu,10.0,"(8,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8,)}",0.777292576419214,0.782798833819242,0.7824817518248175,0.781021897810219,0.781021897810219,0.7809218203033839,0.0019583060446395724,168,0.7811017876687341,0.7797228300510576,0.7823550856726212,0.7798031352533722,0.7798031352533722,0.7805571947798315,0.0010356031205562852
3,0.2220156669616699,0.01416861213768349,0.0010017871856689454,0.0020035743713378907,relu,10.0,"(4, 4)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4, 4)}",0.7831149927219796,0.7769679300291545,0.7781021897810219,0.7839416058394161,0.7708029197080292,0.7785880980163361,0.004745269684623346,184,0.7829259394381612,0.7764405543398979,0.7794385709077652,0.7783448778709442,0.7768866204885162,0.778807312609057,0.0023180173774438925
4,0.0919374942779541,0.010193811722285905,0.0,0.0,relu,10.0,"(2, 2)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2, 2)}",0.7831149927219796,0.7813411078717201,0.7839416058394161,0.7751824817518248,0.7824817518248175,0.7812135355892649,0.0031312554521955582,149,0.7832907697920467,0.7837345003646973,0.7830842143638352,0.7808968282901932,0.7790740065621582,0.7820160638745861,0.001767893330335266
5,0.09402480125427246,0.001901336645905134,0.0,0.0,relu,10.0,"(8, 8)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8, 8)}",0.7816593886462883,0.782798833819242,0.781021897810219,0.781021897810219,0.7839416058394161,0.7820886814469078,0.0011308108751212958,130,0.7821962787303903,0.7826404084609774,0.7819905213270142,0.7823550856726212,0.7816259569814072,0.782161650234482,0.000341783032128552
6,0.10202522277832031,0.004074571478359367,0.0,0.0,relu,10.0,"(4, 4, 4)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (4, 4, 4)}",0.7831149927219796,0.782798833819242,0.7839416058394161,0.7839416058394161,0.7839416058394161,0.7835472578763127,0.0004927114278503421,13,0.7836556001459322,0.7837345003646973,0.7834487787094422,0.7834487787094422,0.7834487787094422,0.7835472873277911,0.00012320083719547382
7,0.09596977233886719,0.0038222964014589782,0.0,0.0,relu,10.0,"(2, 2, 2)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (2, 2, 2)}",0.21688500727802038,0.21720116618075802,0.21605839416058395,0.21605839416058395,0.21605839416058395,0.2164527421236873,0.0004927114278503239,207,0.21634439985406786,0.2162654996353027,0.2165512212905578,0.2165512212905578,0.2165512212905578,0.2164527126722088,0.00012320083719546406
8,0.11411070823669434,0.0045675618246925065,0.0005091190338134766,0.000785723171188402,relu,10.0,"(8, 8, 8)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (8, 8, 8)}",0.7831149927219796,0.782798833819242,0.7839416058394161,0.7839416058394161,0.7839416058394161,0.7835472578763127,0.0004927114278503421,13,0.7836556001459322,0.7837345003646973,0.7834487787094422,0.7834487787094422,0.7834487787094422,0.7835472873277911,0.00012320083719547382
9,0.2751924991607666,0.006605521748713145,0.0,0.0,relu,3.1622776601683795,"(4,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (4,)}",0.7976710334788938,0.7886297376093294,0.7854014598540145,0.7722627737226277,0.7781021897810219,0.7844224037339557,0.008742901879894124,11,0.790952207223641,0.7870167760758571,0.7914691943127962,0.7841779074006562,0.7798031352533722,0.7866838440532645,0.004355530210849081
10,0.2549879550933838,0.02000507078466432,0.001011037826538086,0.002022075653076172,relu,3.1622776601683795,"(2,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (2,)}",0.7802037845705968,0.7813411078717201,0.7839416058394161,0.7722627737226277,0.7824817518248175,0.7800466744457409,0.004082131363998295,181,0.7789128055454214,0.7815463165572575,0.7827196500182282,0.7761574917973022,0.7823550856726212,0.7803382699181662,0.0024782553550620574
