,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07803883552551269,0.002123234498225983,0.0009999752044677734,0.0019999504089355464,0.1,"(11,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
1,0.14236855506896973,0.009355483855719155,0.0,0.0,0.1,"(11,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 3}",0.7836734693877551,0.7836734693877551,0.7846938775510204,0.7834525025536262,0.7834525025536262,0.7837893017558187,0.00046306914613844383,4,0.7835630423685553,0.7835630423685553,0.7833078101071975,0.7838734371013013,0.7838734371013013,0.7836361538093821,0.0002149915689378705
2,0.08435697555541992,0.0038607409356656987,0.0008055686950683594,0.0016111373901367188,0.1,"(11,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 4}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
3,0.11138639450073243,0.002540403734727276,0.0,0.0,0.1,"(11,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 5}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
4,0.09145855903625488,0.0027999700211459888,0.00030498504638671876,0.0006099700927734375,0.1,"(11,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 6}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
5,0.09516239166259766,0.007667755222129542,0.000997781753540039,0.001995563507080078,0.1,"(11,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 7}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7833631028323552,0.7836182699668283,0.7835340999809699,8.813353136143596e-05
6,0.09385914802551269,0.0030461808050985836,0.0,0.0,0.1,"(11,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 8}",0.7836734693877551,0.7826530612244897,0.7836734693877551,0.7834525025536262,0.7824310520939735,0.7831768068599428,0.0005291013841858863,290,0.7835630423685553,0.7830525778458397,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7834830405033213,0.00021664381457532137
7,0.10463199615478516,0.004823720590790449,0.0,0.0,0.1,"(11,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 9}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
8,0.09453463554382324,0.004387181980580997,0.0007048606872558594,0.001409721374511719,0.1,"(11,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'ica__n_components': 10}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
9,0.07575139999389649,0.0014874974976963361,0.0,0.0,0.1,"(5,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'ica__n_components': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
10,0.08139920234680176,0.0061971190528605094,0.0,0.0,0.1,"(5,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'ica__n_components': 3}",0.2163265306122449,0.2163265306122449,0.2163265306122449,0.21654749744637386,0.21654749744637386,0.21641486320947326,0.00010824013408542338,305,0.2164369576314446,0.2164369576314446,0.2164369576314446,0.21638173003317174,0.21638173003317174,0.21641486659213544,2.70558870975874e-05
