,Adult log-likelihood,Wine log-likelihood
2,-10.885047673421582,-5.51780224963991
3,-10.388499878799387,-5.3454707755689
4,-6.3504094216569476,-5.3223970720030165
5,9.075514835021274,-5.307132604478635
6,26.720498839046968,-5.296395828854985
7,22.746563079429205,-5.280009960874165
8,35.43502635276883,-5.284118335816931
9,27.68027344724009,-5.267559874050431
15,68.87100811495603,-5.238456183752
20,66.79001639112532,-5.204670435235295
