,Adult log-likelihood,Wine log-likelihood
2,24.506346587845236,-7.385723603867249
3,51.79082151374217,-7.110276411960747
4,69.64726803407365,-7.069232212149788
5,75.66612657042006,-6.841608786390436
6,75.11047688706626,-6.841453264550034
7,76.35849356719085,-6.753803615512382
8,74.07669969110185,-6.710903523101976
9,90.10164508616505,-6.636460507685278
15,117.29952300801156,-6.338521714868906
20,117.62885159208352,-6.181893307331107
