,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.16173596382141114,0.016891512337572363,0.003123760223388672,0.006247520446777344,0.1,"(6,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 2}",0.7590511860174781,0.7590511860174781,0.75875,0.7596996245306633,0.7571964956195244,0.75875,0.0008357836410129252,160,0.7592997811816192,0.7592997811816192,0.758125,0.7578881599500156,0.7582005623242737,0.7585626569275055,0.0006106237126957322
1,0.4101698398590088,0.05706161884955128,0.0031251907348632812,0.0062503814697265625,0.1,"(6,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 5}",0.7553058676654182,0.7290886392009988,0.75375,0.7559449311639549,0.7384230287859824,0.7465,0.010844245452309557,194,0.7436698968427634,0.7383557361675523,0.76375,0.7494532958450484,0.7572633552014996,0.7504984568113727,0.009127261412198941
2,0.29762821197509765,0.022844394373915604,0.0,0.0,0.1,"(6,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 10}",0.787765293383271,0.7902621722846442,0.76125,0.7909887359198998,0.7772215269086358,0.7815,0.011264485037755506,74,0.7855579868708972,0.7858705845576742,0.789375,0.7847547641362075,0.788191190253046,0.786749905163565,0.001740280855081938
3,0.20053439140319823,0.042714609803826326,0.0,0.0,0.1,"(6,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 20}",0.7902621722846442,0.797752808988764,0.79875,0.8110137672090113,0.7684605757196495,0.79325,0.014059824352602446,61,0.8068146295717412,0.8140043763676149,0.791875,0.7966260543580131,0.7841299593876914,0.7986900039370122,0.010613563100599627
4,0.2813251495361328,0.04139291829887672,0.0,0.0,0.1,"(6,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 30}",0.815230961298377,0.8089887640449438,0.78875,0.7772215269086358,0.769712140175219,0.792,0.017630380363071598,64,0.8140043763676149,0.8165051578618319,0.7959375,0.7741330834114339,0.8047485160887222,0.8010657267459205,0.015303683289323763
5,0.24831347465515136,0.04440820195980866,0.0,0.0,0.1,"(6,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (6,), 'rp__n_components': 40}",0.8077403245942572,0.815230961298377,0.79,0.8035043804755945,0.8035043804755945,0.804,0.008207196095316633,33,0.8268208815254767,0.8130665833072835,0.818125,0.8147453920649796,0.8119337706966573,0.8169383255188795,0.005365035384833696
6,0.12119956016540527,0.04434576161779655,0.0016052722930908203,0.0032105445861816406,0.1,"(3,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'rp__n_components': 2}",0.7403245942571786,0.7403245942571786,0.7625,0.7596996245306633,0.7596996245306633,0.7525,0.010003911350554492,180,0.745545482963426,0.745545482963426,0.75625,0.7591377694470478,0.7591377694470478,0.7531233009641896,0.00627647290169438
7,0.19922165870666503,0.014495552133186927,0.000405120849609375,0.00081024169921875,0.1,"(3,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'rp__n_components': 5}",0.7515605493133583,0.7615480649188514,0.7525,0.7546933667083855,0.7584480600750939,0.75575,0.0037464922862726997,171,0.755861206627071,0.7571115973741794,0.7575,0.7575757575757576,0.7578881599500156,0.7571873443054047,0.0007076919893805081
8,0.16122522354125976,0.04083946448730357,0.0004052639007568359,0.0008105278015136719,0.1,"(3,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'rp__n_components': 10}",0.766541822721598,0.7565543071161048,0.7375,0.7584480600750939,0.7809762202753442,0.76,0.0141622307630399,140,0.7652391372303845,0.7702407002188184,0.7496875,0.7631990003124024,0.7616369884411122,0.7620006652405434,0.006805412305981178
9,0.45182251930236816,0.16903773803770986,0.0032165050506591797,0.003939402122885798,0.1,"(3,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'rp__n_components': 20}",0.818976279650437,0.8102372034956304,0.80125,0.818523153942428,0.7396745932415519,0.79775,0.029728823570131156,46,0.8165051578618319,0.8168177555486089,0.8046875,0.816932208684786,0.746641674476726,0.8003168593143906,0.02724165335824531
10,0.386702823638916,0.056446623857204115,0.00040488243103027345,0.0008097648620605469,0.1,"(3,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'rp__n_components': 30}",0.7677902621722846,0.7440699126092385,0.76125,0.7772215269086358,0.7872340425531915,0.7675,0.01464334428402071,101,0.7602375742419506,0.7730540793998124,0.7790625,0.7866291783817557,0.7903780068728522,0.7778722677792742,0.010664811313202458
11,0.24515295028686523,0.09787249256498226,0.0004032135009765625,0.000806427001953125,0.1,"(3,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'rp__n_components': 40}",0.784019975031211,0.7615480649188514,0.7825,0.7847309136420526,0.7571964956195244,0.774,0.012041870945570507,88,0.7805564238824633,0.7646139418568303,0.80625,0.7797563261480788,0.7731958762886598,0.7808745136352064,0.01391858109619294
