,Adult SSE (left),Wine SSE (left)
2,2827406.3447868847,31153.043105051667
3,2751230.6077001467,26554.444728439623
4,2684380.680874155,22288.540173434838
5,2627448.665280495,19488.68728597885
6,2584044.768356014,17870.66843187742
7,2546841.0600166842,16662.08243554114
8,2497130.6199369887,15889.886549210658
9,2453682.3378546233,15083.977986784917
15,2222573.0194017272,12347.748545050312
20,2050582.5538474338,11056.867305356707
