,0,1,2,3,4
2,0.4238823340881317,0.38451876660925205,0.3883172779096802,0.5056682788705955,0.44978430661461777
5,0.6780928038639114,0.60689598149143,0.625542850349622,0.7068603692228747,0.613825375758596
10,0.7505114285332593,0.7949983614931123,0.7873919822223542,0.7674516181117567,0.6875699147630692
20,0.8691548538067217,0.9056379040462347,0.8504885110644598,0.8704453944805275,0.8474417664560414
30,0.918844800899881,0.9318315146494393,0.9135235800397195,0.9076867832937503,0.8963351630955864
40,0.9421275367087889,0.9392784169668449,0.9377774494253588,0.9362288724641326,0.941467100994179
