,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.15237579345703126,0.012151235507952779,0.0004034519195556641,0.0008069038391113283,0.1,"(11,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'rp__n_components': 2}",0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7834525025536262,0.7732379979570991,0.7827684769293589,0.0048432633498606045,160,0.7853496681980602,0.7835630423685553,0.7845839714139867,0.7836182699668283,0.7841286042357745,0.784248711236641,0.0006643085578875771
1,0.2488996982574463,0.03196072653431193,0.0,0.0,0.1,"(11,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'rp__n_components': 3}",0.7826530612244897,0.7857142857142857,0.789795918367347,0.7814096016343207,0.7763023493360572,0.7831768068599428,0.004492142007767791,144,0.7850944359367024,0.7848392036753445,0.7835630423685553,0.7838734371013013,0.7846389385047206,0.7844018115173249,0.0005848047371221045
2,0.10470061302185059,0.013263888111431166,0.0,0.0,0.1,"(11,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'rp__n_components': 4}",0.7744897959183673,0.786734693877551,0.7744897959183673,0.7834525025536262,0.7793667007150153,0.7797060024499796,0.004858090947063083,218,0.7820316488004083,0.7815211842776927,0.7759060745278203,0.7833631028323552,0.7833631028323552,0.7812370226541263,0.0027630280604635086
3,0.22685608863830567,0.020379016679034165,0.0,0.0,0.1,"(11,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'rp__n_components': 5}",0.7795918367346939,0.7877551020408163,0.7959183673469388,0.7906026557711952,0.7589376915219612,0.782564311964067,0.012935600618012485,168,0.7835630423685553,0.7853496681980602,0.7774374680959674,0.7884664455218168,0.7971421280939015,0.7863917504556601,0.006467482917381329
4,0.14037537574768066,0.03428916492951715,0.0,0.0,0.1,"(11,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'rp__n_components': 6}",0.786734693877551,0.7887755102040817,0.8040816326530612,0.7824310520939735,0.7885597548518897,0.7901184156798693,0.007345702411436559,54,0.7927514037774375,0.7914752424706483,0.7924961715160797,0.788976779790763,0.7907629497320745,0.7912925094574007,0.0013604119768881018
5,0.2651393413543701,0.1059571234370537,0.0031249523162841797,0.006249904632568359,0.1,"(11,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'rp__n_components': 7}",0.7959183673469388,0.786734693877551,0.7948979591836735,0.81511746680286,0.7589376915219612,0.7903225806451613,0.018242610648588627,48,0.7917304747320061,0.7901990811638591,0.7868810617662072,0.801735136514417,0.8002041337075785,0.7941499775768136,0.005804966082725972
6,0.20366644859313965,0.060582625742363734,0.0,0.0,0.1,"(11,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'rp__n_components': 8}",0.7959183673469388,0.7948979591836735,0.8091836734693878,0.7814096016343207,0.7906026557711952,0.7944058799510004,0.0089917584393598,28,0.8065339458907606,0.8065339458907606,0.7912200102092904,0.79867313090074,0.7938249553457515,0.7993571976474605,0.006329279616166767
7,0.1791844844818115,0.016895836219261332,0.0,0.0,0.1,"(5,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'rp__n_components': 2}",0.7836734693877551,0.7806122448979592,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7829726418946509,0.001184628116498742,151,0.7784583971413986,0.7825421133231241,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7823600185533468,0.0019934627002463684
8,0.4417244911193848,0.02516512278224023,0.0,0.0,0.1,"(5,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'rp__n_components': 3}",0.7836734693877551,0.786734693877551,0.7938775510204081,0.7783452502553626,0.7742594484167518,0.7833809718252348,0.006783140659587953,136,0.7822868810617662,0.7830525778458397,0.777947932618683,0.7815769328910437,0.7820872671599898,0.7813903183154645,0.0017853578622499678
9,0.5276811122894287,0.1093731030119913,0.0031271457672119142,0.0062542915344238285,0.1,"(5,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'rp__n_components': 4}",0.7673469387755102,0.7714285714285715,0.8081632653061225,0.7517875383043923,0.7538304392236976,0.7705185790118416,0.0202857256106167,249,0.753190403266973,0.7845839714139867,0.776416539050536,0.7787700944118398,0.7897422811941822,0.7765406578675036,0.012563422574777095
10,0.15764279365539552,0.029447278440436018,0.0,0.0,0.1,"(5,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'rp__n_components': 5}",0.7887755102040817,0.7836734693877551,0.7969387755102041,0.7395301327885597,0.7711950970377937,0.7760310330747244,0.020065405692465135,243,0.7876467585502808,0.7947932618683001,0.7812659520163349,0.7815769328910437,0.7854044399081398,0.7861374690468199,0.004945062266508839
11,0.29996910095214846,0.06856263127305934,0.0,0.0,0.1,"(5,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'rp__n_components': 6}",0.7836734693877551,0.7663265306122449,0.7540816326530613,0.7814096016343207,0.7824310520939735,0.7735810534912209,0.011614248530470606,247,0.7861153649821337,0.7695252679938744,0.774885145482389,0.7899974483286553,0.7820872671599898,0.7805220987894084,0.007432659789778889
