,Adult log-likelihood,Wine log-likelihood
2,-21.288338382608195,-4.1946199150681
3,-20.620943774553453,-4.165889378758861
4,-18.970761840054525,-4.1425665822479605
5,-17.4877840964154,-4.136949006182472
6,-15.053081452675768,-4.126393085047352
7,-12.958668428082436,-4.126486643772334
8,-13.718014304829422,-4.122372500168445
9,-12.741594994554761,-4.119224532949839
15,-6.574171375822781,-4.090645171119421
20,-4.174336276145954,-4.085726837110921
