,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10299906730651856,0.012082067608404332,0.0,0.0,0.1,"(3,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 2}",0.2163265306122449,0.2163265306122449,0.2163265306122449,0.21654749744637386,0.21654749744637386,0.21641486320947326,0.00010824013408542338,269,0.2164369576314446,0.2164369576314446,0.2164369576314446,0.21638173003317174,0.21638173003317174,0.21641486659213544,2.70558870975874e-05
1,0.20099997520446777,0.005833391638093291,0.0,0.0,0.1,"(3,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 3}",0.7836734693877551,0.7642857142857142,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7797060024499796,0.007712744730280096,263,0.7835630423685553,0.7646758550280756,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7798076959397685,0.007565960769242638
2,0.17399964332580567,0.01019927306318364,0.0009999752044677734,0.001999950408935547,0.1,"(3,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 4}",0.7836734693877551,0.7704081632653061,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7809309922417313,0.0052636847940295255,253,0.7835630423685553,0.7797345584481878,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7828194366237909,0.0015426368195723776
3,0.2280430316925049,0.012054495651397277,0.0010002613067626952,0.00200052261352539,0.1,"(3,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 5}",0.7785714285714286,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7793667007150153,0.7817476521028991,0.002284000030882482,244,0.7805002552322614,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.779790762949732,0.7822070745771865,0.0016982675812361066
4,0.1720289707183838,0.01030192929330385,0.0030000686645507814,0.002449545895335771,0.1,"(3,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 6}",0.2163265306122449,0.2163265306122449,0.2163265306122449,0.21654749744637386,0.21654749744637386,0.21641486320947326,0.00010824013408542338,269,0.2164369576314446,0.2164369576314446,0.2164369576314446,0.21638173003317174,0.21638173003317174,0.21641486659213544,2.70558870975874e-05
5,0.16313705444335938,0.007411046509694832,0.0,0.0,0.1,"(3,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 7}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
6,0.33968701362609866,0.007690896908381967,0.0022125720977783205,0.0019444818894348058,0.1,"(3,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 8}",0.7816326530612245,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7831768068599428,0.0007785700333135037,223,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
7,0.2967170238494873,0.02532093932716539,0.0010001659393310547,0.0020003318786621094,0.1,"(3,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 9}",0.7836734693877551,0.7806122448979592,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7829726418946509,0.001184628116498742,227,0.7835630423685553,0.7817764165390505,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7832278082419635,0.0007261160281548693
8,0.28631744384765623,0.02081585378900655,0.0019998073577880858,0.0024492538342327026,0.1,"(3,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 15}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7830525778458397,0.7836182699668283,0.7836182699668283,0.7834830405033213,0.0002166438145753214
9,0.47200236320495603,0.059467343266654336,0.0019988059997558595,0.002448027861509502,0.1,"(3,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (3,), 'gmm__n_components': 20}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7830525778458397,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7803010972186782,0.7828196059536914,0.0012759640874758283
10,0.10662970542907715,0.009381375119773107,0.0019999027252197267,0.002449370616438233,0.1,"(1,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (1,), 'gmm__n_components': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
