,Adult SSE (left),Wine SSE (left)
2,931171.9157878578,11143.215367999932
3,892680.0487033075,8875.303121475416
4,855281.7042993931,7220.243771879892
5,828564.9240790724,6494.891784376345
6,804225.5570887368,5859.1491332267615
7,771180.4400151669,5351.569913219713
8,752165.9541690865,4910.50793021028
9,732161.8614888095,4559.048070976697
15,612983.4381099252,3355.6439180000057
20,556085.9364816902,2810.283072570783
