,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1425426959991455,0.012818535152289584,0.0017039775848388672,0.002093136384410636,0.1,"(11,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 2}",0.7795918367346939,0.7836734693877551,0.7765306122448979,0.7834525025536262,0.7834525025536262,0.7813393221723153,0.002848302858089202,279,0.7825421133231241,0.7835630423685553,0.7787136294027565,0.7833631028323552,0.7833631028323552,0.7823089981518292,0.0018317161012239166
1,0.25277247428894045,0.041215331910726495,0.0,0.0,0.1,"(11,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 3}",0.7959183673469388,0.7918367346938775,0.7887755102040817,0.7865168539325843,0.763023493360572,0.7852184565128624,0.011532663156193518,184,0.7835630423685553,0.78892291985707,0.787391526288923,0.7864251084460322,0.782852768563409,0.7858310731047979,0.0022961563460624935
2,0.16996426582336427,0.07501992089141943,0.002018308639526367,0.002472027240020589,0.1,"(11,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 4}",0.7938775510204081,0.7928571428571428,0.7928571428571428,0.780388151174668,0.7763023493360572,0.7872601061657819,0.007398397289721044,146,0.7927514037774375,0.7914752424706483,0.7899438489025012,0.7790252615463128,0.7833631028323552,0.787311771905851,0.005255666518136856
3,0.2859440803527832,0.11150724636033904,0.0010050296783447265,0.002010059356689453,0.1,"(11,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 5}",0.8,0.7887755102040817,0.8061224489795918,0.7957099080694586,0.7793667007150153,0.7939975500204165,0.00924401612921544,71,0.8009188361408882,0.7848392036753445,0.7871362940275651,0.80199030364889,0.8093901505486093,0.7968549576082594,0.009368550732187468
4,0.1494884967803955,0.03231368682733605,0.0014058589935302735,0.0019627560749498844,0.1,"(11,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 6}",0.7989795918367347,0.786734693877551,0.7948979591836735,0.7875383043922369,0.7793667007150153,0.7895059207839935,0.006828848148001262,118,0.8032159264931087,0.8006636038795304,0.7899438489025012,0.7864251084460322,0.7938249553457515,0.7948146886133849,0.006322662643489292
5,0.23797693252563476,0.039840684777094196,0.0008152008056640625,0.0009984805156762826,0.1,"(11,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 7}",0.7948979591836735,0.789795918367347,0.7948979591836735,0.7946884576098059,0.7824310520939735,0.7913434054716211,0.0048629133107157725,102,0.7973455844818785,0.8050025523226135,0.7884124553343542,0.7894871140597091,0.8137279918346517,0.7987951396066414,0.009571444307209609
6,0.2920787811279297,0.04533555173797455,0.0009276390075683594,0.0018552780151367186,0.1,"(11,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 8}",0.7918367346938775,0.7877551020408163,0.8030612244897959,0.8038815117466803,0.7517875383043923,0.7876684360963658,0.01899356259990883,141,0.8067891781521185,0.809086268504339,0.7983665135273098,0.792549119673386,0.808369482010717,0.8030321123735741,0.006494872021986898
7,0.2159480094909668,0.04911343525011782,0.0,0.0,0.1,"(11,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 9}",0.8081632653061225,0.7887755102040817,0.826530612244898,0.7926455566905005,0.7987742594484167,0.8029808084932626,0.01347588703773052,20,0.8078101071975498,0.8044920877998979,0.8095967330270546,0.8132176575657055,0.8157693289104363,0.8101771829001289,0.003969303690275496
8,0.3011983871459961,0.1376807651305168,0.0,0.0,0.1,"(11,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 10}",0.7908163265306123,0.7806122448979592,0.8030612244897959,0.7916241062308478,0.7783452502553626,0.7888934258881176,0.008851682395167041,131,0.8039816232771823,0.7958141909137315,0.7947932618683001,0.8206175044654248,0.820872671599898,0.8072158504249074,0.011496885377579504
9,0.1560436248779297,0.05309410553031839,0.0,0.0,0.1,"(5,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'pca__n_components': 2}",0.7877551020408163,0.7846938775510204,0.7918367346938775,0.7814096016343207,0.7711950970377937,0.7833809718252348,0.006995468332149799,250,0.7868810617662072,0.7879019908116386,0.7746299132210311,0.7851492727736668,0.7841286042357745,0.7837381685616636,0.004739602597000391
10,0.4519479274749756,0.03566231939692282,0.0019788742065429688,0.0039577484130859375,0.1,"(5,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'pca__n_components': 3}",0.786734693877551,0.7887755102040817,0.7795918367346939,0.7763023493360572,0.7538304392236976,0.7770518579011841,0.012467680580299146,315,0.7817764165390505,0.7899438489025012,0.7787136294027565,0.7769839244705282,0.7836182699668283,0.7822072178563328,0.004505997599981499
