,Adult SSE (left),Wine SSE (left)
2,699575.1648887657,28066.181818117933
3,622316.481466014,25063.987641628948
4,563748.36489596,22355.855892463755
5,520752.04925011564,20636.23450414204
6,489995.3623843151,19118.78196657313
7,457703.574782251,17793.224571129478
8,433486.1767958789,16935.58308261435
9,405556.22101119714,16281.905924052642
15,309277.9753289899,13569.186416987242
20,276328.8047135001,12330.234193199558
