,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.597216272354126,0.06763812192749027,0.10352029800415039,0.0031966599952226084,0.1,"(11,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 2}",0.7989795918367347,0.7969387755102041,0.7989795918367347,0.7967313585291114,0.8008171603677222,0.7984891792568395,0.0015093148438909225,44,0.8019397651863196,0.8014293006636038,0.798111281265952,0.7943352896146977,0.79867313090074,0.7988977535262627,0.0027257159328503188
1,0.5738156795501709,0.03517856325279994,0.10222210884094238,0.0025892848794909487,0.1,"(11,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 3}",0.7928571428571428,0.7857142857142857,0.8112244897959183,0.7895812053115424,0.763023493360572,0.7884850959575337,0.015447919894235286,208,0.7787136294027565,0.7863705972434916,0.7947932618683001,0.779535595815259,0.7933146210768053,0.7865455410813225,0.006698568812599425
2,0.5061033248901368,0.03849371727867589,0.10738258361816407,0.007037182490735692,0.1,"(11,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 4}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,250,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
3,0.6211025238037109,0.04545143264353166,0.10618181228637695,0.006101349858767764,0.1,"(11,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 5}",0.8071428571428572,0.7989795918367347,0.813265306122449,0.7834525025536262,0.7599591419816139,0.7925683952633729,0.019120249102560088,118,0.8055130168453293,0.8057682491066871,0.790454313425217,0.8073488134728247,0.8127073232967594,0.8043583432293635,0.007420128448749591
4,0.5187260150909424,0.02829716566883101,0.10491323471069336,0.004306357715325052,0.1,"(11,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 6}",0.786734693877551,0.7836734693877551,0.7938775510204081,0.7967313585291114,0.7854954034729316,0.7893017558187015,0.005076891247201266,196,0.799642674834099,0.7871362940275651,0.7884124553343542,0.8032661393212555,0.7902526154631283,0.7937420357960804,0.006476764554707562
5,0.5530008316040039,0.04316510925200381,0.10190677642822266,0.004942010111961754,0.1,"(11,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 7}",0.7938775510204081,0.7887755102040817,0.8122448979591836,0.7844739530132788,0.7711950970377937,0.7901184156798693,0.01338234084549045,180,0.7843287391526289,0.8024502297090352,0.8021949974476774,0.8025006379178362,0.8032661393212555,0.7989481487096866,0.007318455524849453
6,0.6480958461761475,0.04918218269024952,0.10689616203308105,0.00871246495585389,0.1,"(11,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 8}",0.8071428571428572,0.7908163265306123,0.8285714285714286,0.7906026557711952,0.7967313585291114,0.8027766435279706,0.014229969186236096,14,0.802705461970393,0.8095967330270546,0.8052577845839715,0.8137279918346517,0.8157693289104363,0.8094114600653015,0.004925701966039364
7,0.6690845489501953,0.10765271439899803,0.10298957824707031,0.007453102299391106,0.1,"(11,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 9}",0.813265306122449,0.8061224489795918,0.8193877551020409,0.7967313585291114,0.7783452502553626,0.8027766435279706,0.014355125337760928,14,0.8111281265952016,0.8037263910158244,0.8065339458907606,0.80862464914519,0.8239346772135749,0.8107895579721103,0.00700848315191014
8,0.6117810249328614,0.08549689900278042,0.10806903839111329,0.006014713820415677,0.1,"(11,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'filter__n': 10}",0.7714285714285715,0.789795918367347,0.8112244897959183,0.804902962206333,0.7814096016343207,0.791751735402205,0.014670463371836622,144,0.781010719754977,0.7937723328228689,0.7978560490045942,0.8040316407246747,0.814748660372544,0.7982838805359318,0.011162660150757736
9,0.4799664974212646,0.02321836584031488,0.10298209190368653,0.006026237982062256,0.1,"(5,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'filter__n': 2}",0.7836734693877551,0.7816326530612245,0.7826530612244897,0.7834525025536262,0.7834525025536262,0.7829726418946509,0.0007549949572365522,289,0.7827973455844819,0.7833078101071975,0.7830525778458397,0.782852768563409,0.782852768563409,0.7829726541328674,0.00018878321625092088
10,0.9070878028869629,0.04975185583779435,0.10004677772521972,7.091782176776488e-05,0.1,"(5,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'filter__n': 3}",0.7928571428571428,0.789795918367347,0.8142857142857143,0.7742594484167518,0.7548518896833504,0.7852184565128624,0.019830155936693187,242,0.7876467585502808,0.7896886166411434,0.7807554874936192,0.7991834651696862,0.7958662924215361,0.7906281240552532,0.006447828107996562
