,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.12968363761901855,0.013071936313138672,0.0,0.0,0.1,"(8,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,132,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
1,0.26296095848083495,0.017690903527242462,0.0,0.0,0.1,"(8,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 3}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,132,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
2,0.30901246070861815,0.026928123486839775,0.0010008811950683594,0.0020017623901367188,0.1,"(8,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 4}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,132,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
3,0.3910266399383545,0.053319090623446495,0.0,0.0,0.1,"(8,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 5}",0.7857142857142857,0.7836734693877551,0.7836734693877551,0.7865168539325843,0.7834525025536262,0.7846059616169865,0.0012607619396175055,107,0.7830525778458397,0.7835630423685553,0.7833078101071975,0.7843837713702475,0.7836182699668283,0.7835850943317336,0.0004471984509406651
4,0.4210374355316162,0.04794258516105004,0.000904083251953125,0.00180816650390625,0.1,"(8,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 6}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,132,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
5,0.5910829067230224,0.08638453384036425,0.0,0.0,0.1,"(8,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 7}",0.8244897959183674,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7528089887640449,0.7856267864434463,0.022802004422253084,93,0.791985706993364,0.7820316488004083,0.7830525778458397,0.7843837713702475,0.7555498851747895,0.7794007180369299,0.012428458251288943
6,0.6028501987457275,0.06115835986765863,0.0,0.0,0.1,"(8,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 8}",0.7857142857142857,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7722165474974464,0.7817476521028991,0.004834298910477729,292,0.7807554874936192,0.7835630423685553,0.7827973455844819,0.7836182699668283,0.7823424342944628,0.7826153159415895,0.0010460079538150452
7,0.6166333675384521,0.03888060988306781,0.002419281005859375,0.0022604265560162875,0.1,"(8,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 9}",0.7806122448979592,0.786734693877551,0.7836734693877551,0.7834525025536262,0.7793667007150153,0.7827684769293589,0.0025783901615756997,272,0.7815211842776927,0.7930066360387953,0.7863705972434916,0.782852768563409,0.8070936463383516,0.7901689664923479,0.009351317069405054
8,1.0165184020996094,0.10514106924336332,0.0,0.0,0.1,"(8,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 15}",0.7836734693877551,0.7785714285714286,0.8061224489795918,0.7415730337078652,0.7875383043922369,0.7795018374846876,0.021116250718295194,329,0.7858601327207759,0.776416539050536,0.790454313425217,0.7790252615463128,0.7912732840010207,0.7846059061487726,0.005973946886914541
9,1.1482255458831787,0.08722193637629934,0.0016033172607421875,0.001862252436780992,0.1,"(8,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (8,), 'km__n_clusters': 20}",0.7785714285714286,0.7836734693877551,0.7836734693877551,0.7936670071501533,0.7691521961184883,0.7817476521028991,0.007975530545421817,292,0.7715671260847371,0.7835630423685553,0.7835630423685553,0.7910181168665475,0.7897422811941822,0.7838907217765154,0.006886599549140612
10,0.3543731212615967,0.024037240599602612,0.0009707927703857422,3.342264539248909e-05,0.1,"(4,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (4,), 'km__n_clusters': 2}",0.7224489795918367,0.7836734693877551,0.7826530612244897,0.7385086823289071,0.7793667007150153,0.7613311555737036,0.02573814662546928,332,0.7570188871873405,0.7812659520163349,0.7812659520163349,0.7461087011992855,0.7780045930084205,0.7687328170855432,0.014485796798559153
