,Adult SSE (left),Wine SSE (left)
2,5032633.9202915095,42548.64912687298
3,4946096.027649388,39063.25125034348
4,4876083.691270553,35986.957713306256
5,4821299.63895508,33699.15844972436
6,4748690.5049710795,31972.324131854704
7,4728102.006827702,30552.838220591002
8,4650160.159680212,29359.270027452054
9,4618129.1791377105,28197.357885632417
15,4325450.637206203,24715.89102378941
20,4085783.830538383,22742.109380717007
