,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__activation,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07500729560852051,0.011693928267949374,0.0,0.0,relu,10.0,"(11,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (11,)}",0.7889374090247453,0.782798833819242,0.7956204379562044,0.8,0.7868613138686131,0.7908401400233372,0.006177477970003382,38,0.7913170375775265,0.7935813274981766,0.7962085308056872,0.7925628873496172,0.7896463725847612,0.7926632311631537,0.002206163736835951
1,0.1555783271789551,0.026185020096556055,0.0,0.0,relu,10.0,"(5,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (5,)}",0.7947598253275109,0.7857142857142857,0.7897810218978102,0.7839416058394161,0.8160583941605839,0.794049008168028,0.011612695665163172,37,0.7902225465158701,0.7895696571845369,0.8005833029529712,0.8042289464090412,0.7962085308056872,0.7961625967736212,0.005715974090042917
2,0.07500767707824707,0.006250739111008675,0.0,0.0,relu,10.0,"(22,)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (22,)}",0.8020378457059679,0.7871720116618076,0.8102189781021898,0.8102189781021898,0.7985401459854015,0.8016336056009334,0.008558887876446668,18,0.8018971178402043,0.8005105762217359,0.8024061246810062,0.8027706890266132,0.7969376594969012,0.8009044334532922,0.002126679469986728
3,0.05625557899475098,0.007655317331103952,0.0,0.0,relu,10.0,"(11, 11)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (11, 11)}",0.7816593886462883,0.7798833819241983,0.7737226277372263,0.7824817518248175,0.781021897810219,0.7797549591598599,0.0031317904285451414,156,0.7807369573148486,0.7811816192560175,0.7823550856726212,0.7808968282901932,0.7798031352533722,0.7809947251574105,0.0008223654530820883
4,0.06252169609069824,3.123447180959325e-05,0.0,0.0,relu,10.0,"(5, 5)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (5, 5)}",0.7787481804949054,0.7798833819241983,0.781021897810219,0.7678832116788321,0.7751824817518248,0.7765460910151692,0.004750916314979165,168,0.7781831448376505,0.7808169219547776,0.7805322639445862,0.7721472839956253,0.7706890266131973,0.7764737282691674,0.004252952892394292
5,0.03750424385070801,0.007654986507337982,0.0,0.0,relu,10.0,"(22, 22)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (22, 22)}",0.784570596797671,0.7813411078717201,0.7839416058394161,0.7824817518248175,0.7868613138686131,0.7838389731621938,0.0018845078208245788,65,0.7854797519153593,0.7851932895696572,0.7841779074006562,0.7841779074006562,0.7827196500182282,0.7843497012609114,0.0009700256729475417
6,0.08125810623168946,0.011693507707698156,0.0,0.0,relu,10.0,"(11, 11, 11)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (11, 11, 11)}",0.7831149927219796,0.7798833819241983,0.7795620437956204,0.7839416058394161,0.7839416058394161,0.7820886814469078,0.0019575805669298373,153,0.7832907697920467,0.7822757111597374,0.7823550856726212,0.7834487787094422,0.7834487787094422,0.782963824808658,0.0005331636378276876
7,0.021877241134643555,0.007655258986036945,0.0,0.0,relu,10.0,"(5, 5, 5)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (5, 5, 5)}",0.21688500727802038,0.21720116618075802,0.21605839416058395,0.21605839416058395,0.21605839416058395,0.2164527421236873,0.0004927114278503239,194,0.21634439985406786,0.2162654996353027,0.2165512212905578,0.2165512212905578,0.2165512212905578,0.2164527126722088,0.00012320083719546406
8,0.05000448226928711,0.0062502623175054095,0.0,0.0,relu,10.0,"(22, 22, 22)","{'NN__activation': 'relu', 'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (22, 22, 22)}",0.7831149927219796,0.7871720116618076,0.7824817518248175,0.7824817518248175,0.7912408759124088,0.7852975495915986,0.0034474544558406074,62,0.7862094126231303,0.7855579868708972,0.7870944221655122,0.7856361647830842,0.7852716004374772,0.7859539173760203,0.0006464229383270913
9,0.05313034057617187,0.015936409163589644,0.0,0.0,relu,3.1622776601683795,"(11,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (11,)}",0.8020378457059679,0.8046647230320699,0.7897810218978102,0.7970802919708029,0.7824817518248175,0.795215869311552,0.008135943761220793,36,0.8037212696096315,0.8088986141502553,0.7921983230040102,0.7860007291286912,0.7918337586584032,0.7965305389101983,0.008442518896178874
10,0.13438849449157714,0.007655064262639584,0.0,0.0,relu,3.1622776601683795,"(5,)","{'NN__activation': 'relu', 'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (5,)}",0.777292576419214,0.7988338192419825,0.762043795620438,0.7576642335766424,0.7883211678832117,0.7768378063010501,0.015505106715597365,167,0.7825611090842758,0.7906637490882568,0.7816259569814072,0.7918337586584032,0.7623040466642362,0.7817977240953159,0.010582477113575154
