,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.33268094062805176,0.050439703630676576,0.0,0.0,0.1,"(11,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,)}",0.8142857142857143,0.8030612244897959,0.8316326530612245,0.7926455566905005,0.7671092951991828,0.8017558187015108,0.02160717144585993,8,0.812149055640633,0.8118938233792752,0.8052577845839715,0.8173003317172748,0.8216381730033172,0.8136478336648943,0.005529956166085809
1,0.25282993316650393,0.12558601172019535,0.0018171310424804688,0.0016122978776120817,0.1,"(5,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,)}",0.7989795918367347,0.7979591836734694,0.8051020408163265,0.7691521961184883,0.7487231869254342,0.7839934667211107,0.02158198083053543,28,0.8083205717202654,0.8111281265952016,0.7876467585502808,0.7831079356978821,0.7841286042357745,0.7948663993598808,0.012256781403095841
2,0.2318965435028076,0.038027753481549735,0.0,0.0,0.1,"(22,)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (22,)}",0.8051020408163265,0.8,0.8051020408163265,0.8069458631256384,0.7773237997957099,0.7988975091874234,0.011028291243484171,15,0.8085758039816233,0.8167432363450741,0.8060234813680449,0.8106659862209747,0.8190865016585863,0.8122190019148607,0.004933568154628398
3,0.2627870559692383,0.05352644680053188,0.0010052204132080078,0.0019927261398601875,0.1,"(11, 11)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11, 11)}",0.8122448979591836,0.789795918367347,0.8387755102040816,0.8059244126659857,0.7773237997957099,0.8048182931808902,0.02093423610809133,3,0.8113833588565594,0.7940275650842267,0.8085758039816233,0.8142383261035978,0.8185761673896402,0.8093602442831296,0.008348991694002588
4,0.15583863258361816,0.006077018806213938,0.0,0.0,0.1,"(5, 5)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5, 5)}",0.789795918367347,0.7744897959183673,0.7836734693877551,0.7824310520939735,0.7834525025536262,0.7827684769293589,0.004886110505400237,29,0.7827973455844819,0.7817764165390505,0.7792240939254722,0.7846389385047206,0.7836182699668283,0.7824110129041106,0.0018509208605562166
5,0.442434024810791,0.16208800380842614,0.0004093647003173828,0.0008187294006347656,0.1,"(22, 22)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (22, 22)}",0.8163265306122449,0.786734693877551,0.8244897959183674,0.797752808988764,0.7742594484167518,0.7999183340138832,0.018492610650313483,13,0.8318019397651863,0.8144461459928535,0.799642674834099,0.8328655269201327,0.8287828527685634,0.821507828056167,0.012773756870365981
6,0.30994501113891604,0.047604391939708106,0.0,0.0,0.1,"(11, 11, 11)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11, 11, 11)}",0.8112244897959183,0.7979591836734694,0.7928571428571428,0.7957099080694586,0.7732379979570991,0.7942017149857085,0.012225445934783715,24,0.8154670750382849,0.8205717202654416,0.7947932618683001,0.8139831589691248,0.8198520030620056,0.8129334438406314,0.009410601673936427
7,0.1463261604309082,0.0047873062578154,0.0008121013641357421,0.0009946396151967703,0.1,"(5, 5, 5)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5, 5, 5)}",0.7836734693877551,0.7836734693877551,0.7479591836734694,0.7834525025536262,0.7834525025536262,0.7764393630053082,0.014244066485268433,33,0.7835630423685553,0.7833078101071975,0.7570188871873405,0.7831079356978821,0.782852768563409,0.7779700887848768,0.010478199080049155
8,0.5267861843109131,0.20245796302282815,0.0014039039611816405,0.0019609820942455333,0.1,"(22, 22, 22)","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (22, 22, 22)}",0.8071428571428572,0.8010204081632653,0.8346938775510204,0.8018386108273748,0.7722165474974464,0.8033891384238465,0.019867733086882486,6,0.8154670750382849,0.8141909137314957,0.8328228688106176,0.8226588415412095,0.8287828527685634,0.8227845103780342,0.0072685529149397925
9,0.33986473083496094,0.04222700578705229,0.00031962394714355467,0.0006392478942871093,0.01,"(11,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (11,)}",0.8142857142857143,0.8030612244897959,0.8285714285714286,0.7906026557711952,0.7671092951991828,0.8007349938750511,0.020961347875047925,11,0.8124042879019908,0.8116385911179173,0.8057682491066871,0.8175554988517479,0.8206175044654248,0.8135968262887536,0.00512843960684275
10,0.2250946044921875,0.09771489464294188,0.0010000228881835937,0.0020000457763671873,0.01,"(5,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (5,)}",0.8020408163265306,0.8,0.8051020408163265,0.7691521961184883,0.7487231869254342,0.7850142915475704,0.022298233444812052,27,0.8034711587544666,0.8113833588565594,0.7871362940275651,0.7843837713702475,0.7841286042357745,0.7941006374489226,0.011214812890791216
