,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.17959990501403808,0.012307763393383991,0.0011993885040283204,0.00040047922077350356,0.1,"(11,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
1,0.4037996768951416,0.05251029813490365,0.0010007381439208984,1.1039578345098711e-06,0.1,"(11,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 3}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
2,0.35879950523376464,0.05796365324674931,0.0012004375457763672,0.00039982799980422667,0.1,"(11,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 4}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
3,0.4402003765106201,0.06049263896209534,0.0017999649047851563,0.00040001933147467073,0.1,"(11,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 5}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
4,0.4826016902923584,0.17400845405270834,0.001799631118774414,0.0003997327177049117,0.1,"(11,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 6}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
5,0.5261856555938721,0.0804286607722214,0.0017997264862060548,0.0003998995502455719,0.1,"(11,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 7}",0.7959183673469388,0.7948979591836735,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7882809309922417,0.005830839511190823,63,0.8164880040837161,0.8093415007656968,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7953258174303249,0.01453804481822939
6,0.6023999214172363,0.0978807022802527,0.0024001598358154297,0.0004897849762740783,0.1,"(11,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 8}",0.7836734693877551,0.7959183673469388,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7860351163740302,0.004943874198304492,95,0.7835630423685553,0.8062787136294027,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7881282676600339,0.009075256593577162
7,0.5599895477294922,0.06151189115604507,0.0029995918273925783,0.0015479117354627546,0.1,"(11,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 9}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
8,1.1810000896453858,0.08418346000212437,0.0036002159118652343,0.000489765167110052,0.1,"(11,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 15}",0.7826530612244897,0.7510204081632653,0.8071428571428572,0.763023493360572,0.7763023493360572,0.7760310330747244,0.01901137978864283,342,0.7968351199591628,0.7914752424706483,0.7976008167432364,0.7945904567491707,0.8076039806072978,0.7976211233059032,0.005426461914301654
9,1.593599271774292,0.12329266889234622,0.003997611999511719,4.321628593586806e-06,0.1,"(11,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (11,), 'gmm__n_components': 20}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7986217457886677,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7865968740918869,0.006012486577825507
10,0.1523982524871826,0.008208774782946553,0.001200246810913086,0.00040004257295020516,0.1,"(5,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (5,), 'gmm__n_components': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,129,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
